Jahr,Schweiz,Ausland
1990,205458,486870
1991,212927,438926
1992,185108,449488
1993,177899,419933
1994,160319,428758
1995,200027,416764
1996,187563,420472
1997,192256,432013
1998,185406,428649
1999,213981,428392
2000,205029,453717
2001,215439,431951
2002,189567,436711
2003,198527,462509
2004,243980,559169
2005,239555,545833
2006,227512,659265
2007,259884,684308
2008,298886,710027
2009,314033,716309
2010,303631,767450
2011,306478,772825
2012,313411,768496
2013,322772,783090
2014,363756,799182
2015,398179,803617
