Haushaltstyp	Mittlere Wohnfläche	Mittlere Wohnfläche	Mittlere Wohnfläche
Einpersonenhaushalte	66.96
Familienhaushalte	32.6
Verheiratete/registrierte Paare ohne Kinder		46.11
Paare mit minderjährigen Kindern		25.08
Verheiratete Paare mit Kindern			24.88
Unverheiratete Paare mit Kindern			26.8
Einelternhaushalte mit minderj. Kindern		30.03
Ohne weitere Personen			32.79
Mit Grosseltern(-teil)			25.28
Mit weiteren Personen			25.58
Eltern(-teil) mit nur volljährigen Kindern		33.22
Nichtfamilienhaushalte	36.52
