Wohnviertel Id	Wohnviertel	Durchschnittliche Abweichung vom Referenzwohnviertel Iselin
1	Altstadt Grossbasel	20.48252964
2	Vorstädte	10.00230865
3	Am Ring	6.746491515
4	Breite	0.330141546
5	St. Alban	6.929496678
6	Gundeldingen	3.349932328
7	Bruderholz	10.88789242
8	Bachletten	8.029675304
9	Gotthelf	4.756196434
10	Iselin	0
11	St. Johann	-0.564562257
12	Altstadt Kleinbasel	3.34056791
13	Clara	0.282235575
14	Wettstein	-0.22970632
15	Hirzbrunnen	-4.086278133
16	Rosental	-4.60006287
17	Matthäus	-1.589130606
18	Klybeck	-7.393068052
19	Kleinhüningen	-6.402670944
20	Riehen und Bettingen	2.932921769
30	Riehen und Bettingen	2.932921769
