""	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"
"2008-1"	2723	6893	2299
"2008-2"	2707	6788	2585
"2008-3"	2652	6696	2798
"2008-4"	2724	6530	2297
"2009-1"	2698	6624	2225
"2009-2"	2665	6697	2182
"2009-3"	2594	6761	2144
"2009-4"	2593	6802	2141
"2010-1"	2553	6995	2182
"2010-2"	2593	7075	2201
"2010-3"	2566	7077	2200
"2010-4"	2464	7017	2152
"2011-1"	2382	7099	2154
"2011-2"	2359	7134	2168
"2011-3"	2352	7182	2186
"2011-4"	2373	7228	2160
"2012-1"	2393	7328	2113
"2012-2"	2410	7315	2076
"2012-3"	2432	7243	2082
"2012-4"	2415	7235	2117
"2013-1"	2446	7244	2083
"2013-2"	2518	7246	2066
"2013-3"	2473	7285	2115
"2013-4"	2486	7249	2073
"2014-1"	2532	7248	2094
"2014-2"	2530	7278	2131
"2014-3"	2542	7317	2144
"2014-4"	2542	7287	2148
"2015-1"	2526	7276	2174
"2015-2"	2521	7183	2200
"2015-3"	2514	7079	2121
"2015-4"	2499	7060	2098
"2016-1"	2564	7132	1960
"2016-2"	2558	7220	1940
"2016-3"	2595	7194	1936
"2016-4"	2602	7194	1934
"2017-1"	2618	7191	1923
"2017-2"	2566	7175	1886
"2017-3"	2555	6972	1861
"2017-4"	2539	6887	1845

