"Datum"	"Schweiz"	"EU15/EFTA"	"EU seit 2004"	"Drittstaaten"	"FEHLER"
"2008-01"	1607	522	38	907	0
"2008-02"	1582	527	43	904	0
"2008-03"	1527	495	46	849	0
"2008-04"	1470	467	36	808	0
"2008-05"	1474	463	34	788	0
"2008-06"	1468	478	36	814	0
"2008-07"	1508	490	36	790	0
"2008-08"	1483	480	33	780	0
"2008-09"	1507	507	32	794	0
"2008-10"	1533	511	31	838	0
"2008-11"	1589	565	34	887	0
"2008-12"	1673	666	33	963	0
"2009-01"	1694	711	34	963	0
"2009-02"	1690	746	28	951	0
"2009-03"	1786	734	40	948	0
"2009-04"	1812	702	42	929	0
"2009-05"	1790	695	44	967	0
"2009-06"	1867	698	52	1012	0
"2009-07"	1977	715	53	985	0
"2009-08"	1925	722	54	990	0
"2009-09"	1983	753	52	1037	0
"2009-10"	2066	777	56	1093	0
"2009-11"	2070	803	56	1123	0
"2009-12"	2149	915	60	1198	0
"2010-01"	2193	956	58	1209	0
"2010-02"	2110	935	54	1181	0
"2010-03"	2077	876	49	1141	0
"2010-04"	2018	804	49	1117	0
"2010-05"	1994	795	42	1046	0
"2010-06"	1937	754	43	1000	0
"2010-07"	1986	756	44	962	0
"2010-08"	2007	758	43	979	0
"2010-09"	2011	778	43	945	0
"2010-10"	1963	745	51	961	0
"2010-11"	1906	782	46	995	0
"2010-12"	1927	882	52	1066	0
"2011-01"	1966	894	59	1107	0
"2011-02"	1945	862	57	1059	0
"2011-03"	1898	859	51	1023	0
"2011-04"	1685	786	52	824	0
"2011-05"	1670	729	53	801	0
"2011-06"	1640	707	48	794	0
"2011-07"	1666	704	47	782	0
"2011-08"	1679	707	50	786	0
"2011-09"	1691	713	51	794	0
"2011-10"	1668	719	55	805	0
"2011-11"	1675	726	61	827	0
"2011-12"	1700	799	64	875	0
"2012-01"	1775	850	65	909	0
"2012-02"	1776	861	62	927	0
"2012-03"	1743	820	63	900	0
"2012-04"	1717	817	60	870	0
"2012-05"	1728	780	62	851	0
"2012-06"	1657	732	58	789	0
"2012-07"	1704	697	63	764	0
"2012-08"	1710	687	66	776	0
"2012-09"	1748	696	68	795	0
"2012-10"	1752	777	65	807	0
"2012-11"	1744	810	69	845	0
"2012-12"	1816	903	84	899	0
"2013-01"	1889	955	85	924	0
"2013-02"	1859	947	77	907	0
"2013-03"	1785	924	82	896	0
"2013-04"	1753	849	81	852	0
"2013-05"	1699	795	82	814	0
"2013-06"	1613	781	86	797	0
"2013-07"	1682	776	89	774	0
"2013-08"	1685	777	86	767	0
"2013-09"	1705	759	88	796	0
"2013-10"	1683	790	89	810	0
"2013-11"	1691	844	90	837	0
"2013-12"	1750	959	96	889	0
"2014-01"	1725	986	109	894	0
"2014-02"	1717	966	106	855	0
"2014-03"	1683	909	108	851	0
"2014-04"	1655	843	110	798	0
"2014-05"	1588	779	93	746	0
"2014-06"	1557	728	89	716	0
"2014-07"	1559	731	98	719	0
"2014-08"	1559	730	88	729	0
"2014-09"	1571	745	97	760	0
"2014-10"	1567	825	92	763	0
"2014-11"	1629	923	98	785	0
"2014-12"	1647	1038	108	876	0
"2015-01"	1760	1079	117	897	0
"2015-02"	1715	1056	122	873	0
"2015-03"	1722	1017	126	868	0
"2015-04"	1683	975	122	841	0
"2015-05"	1632	934	117	835	0
"2015-06"	1643	874	126	822	0
"2015-07"	1644	834	117	777	0
"2015-08"	1742	829	115	772	0
"2015-09"	1771	889	120	813	0
"2015-10"	1738	905	126	832	0
"2015-11"	1721	968	132	857	0
"2015-12"	1707	1014	150	910	0
"2016-01"	1760	1106	149	932	0
"2016-02"	1820	1116	166	960	0
"2016-03"	1778	1079	164	914	0
"2016-04"	1809	1071	185	919	0
"2016-05"	1782	1016	186	872	0
"2016-06"	1731	987	173	831	0
"2016-07"	1683	937	173	806	0
"2016-08"	1766	927	165	807	0
"2016-09"	1764	923	170	792	0
"2016-10"	1778	922	177	800	0
"2016-11"	1790	1046	183	839	0
"2016-12"	1789	1154	205	884	0
"2017-01"	1849	1221	198	913	0
"2017-02"	1798	1151	198	928	0
"2017-03"	1813	1093	198	888	0
"2017-04"	1822	1026	178	837	0
"2017-05"	1711	953	168	820	0
"2017-06"	1662	915	179	825	0
"2017-07"	1653	897	163	801	0
"2017-08"	1765	897	159	805	0
"2017-09"	1675	872	152	756	0
"2017-10"	1686	903	150	773	0
"2017-11"	1679	938	143	784	0
"2017-12"	1678	1044	153	841	0

