"Datum"	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2008-01"	80	111	216	138
"2008-02"	75	106	217	141
"2008-03"	73	103	224	137
"2008-04"	73	97	218	131
"2008-05"	70	99	213	142
"2008-06"	73	101	209	144
"2008-07"	84	105	226	143
"2008-08"	82	101	228	133
"2008-09"	86	88	221	139
"2008-10"	81	80	218	150
"2008-11"	81	74	212	147
"2008-12"	85	80	210	146
"2009-01"	86	83	204	143
"2009-02"	81	81	199	135
"2009-03"	88	92	197	148
"2009-04"	85	95	207	144
"2009-05"	83	88	213	137
"2009-06"	90	134	241	141
"2009-07"	99	170	263	167
"2009-08"	90	183	258	161
"2009-09"	88	179	278	176
"2009-10"	89	176	294	175
"2009-11"	90	171	293	168
"2009-12"	90	174	299	186
"2010-01"	81	172	293	199
"2010-02"	75	157	272	196
"2010-03"	73	148	258	193
"2010-04"	74	143	277	192
"2010-05"	68	131	275	188
"2010-06"	67	129	266	206
"2010-07"	71	133	296	219
"2010-08"	64	128	307	221
"2010-09"	59	128	314	221
"2010-10"	59	123	298	216
"2010-11"	59	111	281	220
"2010-12"	60	106	277	231
"2011-01"	57	112	294	252
"2011-02"	56	100	280	271
"2011-03"	58	93	265	276
"2011-04"	51	79	240	246
"2011-05"	50	78	253	237
"2011-06"	55	89	249	227
"2011-07"	62	102	269	228
"2011-08"	64	108	300	225
"2011-09"	69	112	295	206
"2011-10"	66	107	282	195
"2011-11"	60	103	269	200
"2011-12"	58	103	258	201
"2012-01"	57	116	264	211
"2012-02"	53	119	255	208
"2012-03"	54	115	264	217
"2012-04"	60	105	266	218
"2012-05"	54	101	263	218
"2012-06"	53	103	268	205
"2012-07"	58	120	290	210
"2012-08"	66	123	312	210
"2012-09"	69	134	318	209
"2012-10"	81	139	320	203
"2012-11"	74	128	318	202
"2012-12"	81	127	316	208
"2013-01"	93	135	318	209
"2013-02"	97	142	308	204
"2013-03"	89	136	314	203
"2013-04"	76	131	319	191
"2013-05"	80	119	311	173
"2013-06"	75	129	280	180
"2013-07"	85	151	308	191
"2013-08"	99	140	322	188
"2013-09"	99	140	332	178
"2013-10"	92	153	333	169
"2013-11"	89	147	328	176
"2013-12"	93	155	339	184
"2014-01"	92	152	327	176
"2014-02"	83	152	320	167
"2014-03"	81	147	325	157
"2014-04"	75	141	314	152
"2014-05"	72	141	300	156
"2014-06"	72	137	286	159
"2014-07"	75	160	307	164
"2014-08"	79	165	316	166
"2014-09"	76	157	320	171
"2014-10"	80	148	296	171
"2014-11"	80	145	301	175
"2014-12"	82	150	294	177
"2015-01"	87	154	317	182
"2015-02"	85	153	302	173
"2015-03"	86	159	310	170
"2015-04"	85	146	308	177
"2015-05"	81	150	294	179
"2015-06"	80	144	288	184
"2015-07"	78	154	297	192
"2015-08"	72	172	323	202
"2015-09"	80	170	337	204
"2015-10"	81	162	331	203
"2015-11"	75	148	325	203
"2015-12"	77	136	300	193
"2016-01"	80	151	283	198
"2016-02"	80	158	317	201
"2016-03"	80	158	319	202
"2016-04"	77	163	326	210
"2016-05"	81	162	336	209
"2016-06"	80	164	322	191
"2016-07"	83	164	324	180
"2016-08"	81	188	345	182
"2016-09"	73	189	333	168
"2016-10"	73	172	331	175
"2016-11"	69	160	339	180
"2016-12"	69	151	338	176
"2017-01"	81	157	365	190
"2017-02"	81	152	359	184
"2017-03"	79	151	357	180
"2017-04"	73	155	367	169
"2017-05"	68	153	356	169
"2017-06"	77	151	360	176
"2017-07"	83	164	365	171
"2017-08"	87	171	397	178
"2017-09"	81	160	379	166
"2017-10"	94	154	381	167
"2017-11"	92	156	378	163
"2017-12"	83	154	380	170

