"Datum"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien, IT, sonst. DL"
"2009-01"	16	419
"2009-02"	13	418
"2009-03"	15	506
"2009-04"	20	444
"2010-01"	12	439
"2010-02"	11	477
"2010-03"	28	605
"2010-04"	16	499
"2011-01"	23	520
"2011-02"	19	586
"2011-03"	14	719
"2011-04"	12	627
"2012-01"	12	704
"2012-02"	12	620
"2012-03"	16	670
"2012-04"	18	609
"2013-01"	15	700
"2013-02"	9	721
"2013-03"	18	796
"2013-04"	11	654
"2014-01"	10	727
"2014-02"	16	942
"2014-03"	8	867
"2014-04"	17	768
"2015-01"	24	823
"2015-02"	17	738
"2015-03"	24	806
"2015-04"	14	751
"2016-01"	16	847
"2016-02"	12	789
"2016-03"	12	898
"2016-04"	11	668
"2017-01"	10	1056
"2017-02"	16	842
"2017-03"	13	826
"2017-04"	5	690

