"Wohnviertel_ID"	"Wohnviertel_Name"	"Anteil über 64-Jähriger in %"	"Anzahl über 64-Jähriger"
1	Altstadt Grossbasel	20.128676471	438
2	Vorstädte	23.908275174	1199
3	Am Ring	22.009835761	2372
4	Breite	21.77672956	1939
5	St. Alban	26.483240724	2955
6	Gundeldingen	15.436526914	2905
7	Bruderholz	23.331530557	2157
8	Bachletten	22.223865149	3006
9	Gotthelf	21.556973036	1487
10	Iselin	16.68941777	2812
11	St. Johann	15.657937629	2882
12	Altstadt Kleinbasel	19.237012987	474
13	Clara	21.356598673	869
14	Wettstein	19.529837251	1080
15	Hirzbrunnen	23.969514813	2233
16	Rosental	8.9050431622	588
17	Matthäus	12.744291949	2015
18	Klybeck	13.604410751	987
19	Kleinhüningen	17.791842475	506
20	Riehen	25.970191226	5541
30	Bettingen	24.013434089	286
