Wohnviertel_ID	Wohnviertel_Name	Leerwohnungsquote in %	Anzahl leerstehende Wohnungen
1	Altstadt Grossbasel	0.4	6
2	Vorstädte	1.7	58
3	Am Ring	0.4	25
4	Breite	0.8	44
5	St. Alban	1.4	89
6	Gundeldingen	0.5	59
7	Bruderholz	0.7	29
8	Bachletten	0.5	36
9	Gotthelf	0.6	25
10	Iselin	0.6	62
11	St. Johann	0.8	82
12	Altstadt Kleinbasel	0.9	14
13	Clara	1.1	25
14	Wettstein	0.3	11
15	Hirzbrunnen	0.3	15
16	Rosental	1.0	37
17	Matthäus	0.6	49
18	Klybeck	0.3	12
19	Kleinhüningen	0.7	10
20	Riehen	0.8	86
30	Bettingen	1.6	8
