"Wohnviertel_ID"	"Wohnviertel_Name"	"Gebäude pro Hektar"	"Anzahl Gebäude"
1	Altstadt Grossbasel	13.228470882	499
2	Vorstädte	5.9988412811	541
3	Am Ring	12.867379129	1176
4	Breite	9.7204710234	667
5	St. Alban	3.9910552698	1189
6	Gundeldingen	12.275586926	1430
7	Bruderholz	8.0184030264	2077
8	Bachletten	16.36774262	2503
9	Gotthelf	20.113217713	980
10	Iselin	13.313380964	1454
11	St. Johann	6.7335373656	1517
12	Altstadt Kleinbasel	11.335425237	281
13	Clara	11.320837059	262
14	Wettstein	9.3131968436	704
15	Hirzbrunnen	5.1077003991	1582
16	Rosental	4.7502560759	301
17	Matthäus	19.160964055	1141
18	Klybeck	4.7271400236	435
19	Kleinhüningen	1.23606699	167
20	Riehen	3.8093028448	4137
30	Bettingen	1.396485547	311
