	 Sehr grosse	 Eher grosse	 Eher nicht so grosse	 Gar keine	 Weiss nicht / keine Angabe
2015 Total	355	788	258	54	51
2015 Schweiz	284	701	249	53	46
2015 Ausland	71	87	9	1	5
.
2011 Total	391	705	302	79	39
2011 Schweiz	305	600	284	78	35
2011 Ausland	86	105	18	1	4
..
2007 Total	295	746	303	81	84
2007 Schweiz	254	648	278	79	72
2007 Ausland	41	98	25	2	12
...
2005 Total	351	713	314	78	54
2005 Schweiz	268	620	292	75	45
2005 Ausland	83	93	22	3	9
....
2003 Total	339	682	322	89	65
2003 Schweiz	269	582	301	84	55
2003 Ausland	70	100	21	5	10
