Jahr	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-17 & EFTA	 EU-Ost	 Balkan	 Mittel- & Südamerika	 Arabische Länder	 Afrikanische Länder	 Übrige Länder
2006	969	108	55	132	109	6	164	15	14	11	79
2007	999	90	54	111	138	15	154	8	14	10	74
2008	996	133	46	107	126	22	138	19	17	15	76
2009	1046	156	54	84	128	23	153	14	16	20	81
2010	1109	172	43	85	156	34	135	23	18	26	109
2011	1066	184	56	85	149	25	123	17	25	27	111
2012	1110	200	64	70	160	40	117	11	19	35	104
2013	1088	211	46	73	178	41	129	22	20	45	109
2014	1117	210	58	63	183	39	123	12	16	31	104
2015	1211	196	53	69	196	44	113	19	16	39	109
2016	1207	229	67	75	198	71	107	13	41	39	125
