"Jahr"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2006"	4.2	11.7	34.3	6.6	15.9	34.0	27.7	23.2	49.6	31.1
"2007"	5.4	10.8	64.3	8.2	22.1	90.1	44.2	19.3	50.0	47.6
"2008"	9.3	13.1	58.3	7.2	18.3	76.5	26.9	41.8	26.7	39.9
"2009"	11.4	7.3	40.3	4.9	8.5	45.1	17.4	30.4	14.7	21.2
"2010"	10.6	5.4	23.2	6.1	5.6	29.2	18.3	14.5	19.7	16.1
"2011"	10.4	8.3	19.0	5.2	12.2	20.8	23.8	23.8	22.4	16.8
"2012"	9.9	8.8	23.3	6.3	6.6	19.2	21.5	32.6	21.8	17.0
"2013"	12.6	7.3	27.1	8.7	6.1	30.2	23.8	34.0	20.8	13.9
"2014"	14.8	11.2	16.2	7.2	6.9	25.1	25.8	30.2	14.9	14.2
"2015"	17.3	11.7	24.7	11.0	7.0	27.8	25.0	25.5	17.1	15.2
"2016"	10.6	6.2	13.1	6.4	6.5	16.5	18.6	29.7	11.8	11.9
