Jahr	Schweiz	Deutschland	Italien	Türkei	EU-17 + EFTA	EU-Ost	Balkan	Mittel- und Südamerika	Arabische Länder	Afrikanische Länder	Übrige Länder
2006	24.52	9.12	20.97	33.49	13.53	14.23	37.67	15.52	26.41	28.57	18.52
2007	23.08	9.08	20.07	33.84	13	14.08	37.47	16.13	28.07	27.62	17.52
2008	22.19	8.86	18.87	33.51	13.52	14.58	36.38	14.88	28.1	27.22	19.79
2009	21.68	8.29	17.54	32.98	13.44	15.55	36.81	15.1	27.93	27.78	20.56
2010	20.94	8.06	16.76	32.95	13.53	13.91	36.63	15.69	27.66	27.76	21.09
2011	20.73	8.35	15.89	32.57	13.76	12.99	36.01	14.16	29.49	27.26	21.53
2012	20.1	7.81	14.96	32.07	13.58	13.51	34.99	14.29	31.36	27.85	21.06
2013	19.56	7.97	14.9	32.02	13.83	13.74	34.11	13.56	28.76	28.56	20.6
2014	18.73	7.8	14.64	31.41	13.46	15.09	32.89	12.86	26.81	27.34	19.32
2015	18.7	7.74	14.65	30.77	13.46	14.59	32.69	13.86	28.7	25.99	19.02
2016	17.9	7.6	13.5	30.4	13.6	15.5	31.8	13.5	26.7	25.6	17.7
