Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2005: <3000 Fr.	23	21	72	46	16	26	5	2	0	3
2005:  3000-7499 Fr.	50	61	218	163	75	54	14	9	4	1
2005: >7500 Fr.	12	40	149	81	31	22	3	2	0	1
.										
2007: <3000 Fr.	21	24	67	52	15	24	2	1	2	0
2007: 3000-7499 Fr.	39	55	233	137	53	45	12	7	1	2
2007: >7500 Fr.	13	30	138	85	30	15	3	0	0	1
..										
2011: <3000 Fr.	26	13	39	23	9	20	2	3	0	1
2011: 3000-7499 Fr.	94	66	261	143	41	54	8	7	2	5
2011: >7500 Fr.	47	74	232	116	28	14	5	3	0	0
...										
2015: <3000 Fr.	19	26	50	20	9	13	1	1	1	1
2015: 3000-7499 Fr.	70	74	260	120	40	37	6	5	0	2
2015: >7500 Fr.	48	93	205	85	31	19	6	5	1	1
