Alter	Schweizer	Ausländer	Schweizerinnen	Ausländerinnen	Total
0	-586	-384	570	355	1895
1	-562	-438	601	441	2042
2	-587	-396	548	400	1931
3	-562	-408	483	383	1836
4	-533	-385	443	359	1720
5	-527	-387	527	360	1801
6	-481	-380	492	346	1699
7	-539	-351	507	360	1757
8	-473	-333	505	322	1633
9	-496	-297	458	339	1590
10	-473	-350	453	290	1566
11	-485	-302	450	268	1505
12	-484	-302	448	264	1498
13	-484	-284	476	252	1496
14	-521	-248	454	240	1463
15	-500	-254	476	229	1459
16	-535	-251	454	232	1472
17	-574	-265	490	256	1585
18	-583	-244	522	260	1609
19	-605	-263	622	255	1745
20	-588	-274	666	257	1785
21	-671	-289	844	274	2078
22	-701	-308	831	344	2184
23	-804	-381	931	395	2511
24	-830	-430	1016	447	2723
25	-917	-486	1004	499	2906
26	-965	-587	1012	604	3168
27	-891	-687	1071	735	3384
28	-898	-751	1002	819	3470
29	-885	-782	1038	820	3525
30	-852	-825	901	832	3410
31	-876	-878	937	931	3622
32	-825	-865	816	890	3396
33	-834	-895	788	934	3451
34	-804	-895	819	928	3446
35	-773	-924	800	899	3396
36	-727	-950	705	920	3302
37	-702	-965	692	879	3238
38	-670	-830	653	830	2983
39	-648	-853	646	782	2929
40	-652	-846	651	774	2923
41	-645	-821	695	694	2855
42	-646	-776	593	706	2721
43	-628	-791	635	687	2741
44	-601	-660	685	633	2579
45	-647	-634	662	566	2509
46	-673	-627	709	558	2567
47	-719	-642	699	569	2629
48	-777	-657	800	529	2763
49	-747	-630	858	539	2774
50	-791	-624	865	531	2811
51	-878	-617	963	539	2997
52	-885	-564	1010	490	2949
53	-945	-579	989	529	3042
54	-938	-552	974	412	2876
55	-897	-523	938	432	2790
56	-860	-473	962	383	2678
57	-933	-481	1006	361	2781
58	-859	-384	979	307	2529
59	-851	-379	924	259	2413
60	-817	-352	946	273	2388
61	-823	-355	889	274	2341
62	-725	-316	875	225	2141
63	-759	-280	842	239	2120
64	-768	-251	792	227	2038
65	-720	-246	865	181	2012
66	-665	-192	826	166	1849
67	-686	-195	864	177	1922
68	-700	-205	807	174	1886
69	-686	-187	819	165	1857
70	-628	-159	839	149	1775
71	-624	-172	836	126	1758
72	-645	-132	805	121	1703
73	-619	-130	769	113	1631
74	-609	-140	807	114	1670
75	-580	-133	799	117	1629
76	-549	-109	781	105	1544
77	-450	-140	720	106	1416
78	-438	-111	740	94	1383
79	-419	-83	672	108	1282
80	-442	-92	739	91	1364
81	-380	-69	683	76	1208
82	-426	-73	698	81	1278
83	-359	-63	649	57	1128
84	-346	-42	592	53	1033
85	-346	-36	658	40	1080
86	-295	-25	634	38	992
87	-312	-25	571	23	931
88	-254	-23	518	39	834
89	-232	-11	486	31	760
90	-166	-6	432	23	627
91	-142	-6	346	18	512
92	-96	-2	283	17	398
93	-92	-5	279	12	388
94	-71	-5	209	2	287
95	-44	0	166	3	213
96	-29	-3	142	3	177
97	-29	0	84	4	117
98	-17	0	49	2	68
99	-6	0	27	1	34
100	-6	0	22	0	28
101	-3	0	16	0	19
102	-1	0	12	0	13
103	-1	-1	4	1	7
104	-1	0	3	0	4
105	0	0	3	0	3
106	0	0	2	0	2
107	0	0	1	0	1
115	0	-1	0	0	1
