"Alter"	"Weggezogene"	"Zugezogene"	"Saldo"
"0-4"	3343	1835	-1508
"05-9"	1588	974	-614
"10-14"	996	712	-284
"15-19"	1636	2648	1012
"20-24"	7954	12538	4584
"25-29"	12548	11503	-1045
"30-34"	7977	5913	-2064
"35-39"	4662	3181	-1481
"40-44"	3151	2261	-890
"45-49"	2790	2133	-657
"50-54"	2520	1997	-523
"55-59"	1981	1471	-510
"60-64"	1801	1147	-654
"65-69"	1230	856	-374
"70-74"	646	441	-205
"75-79"	387	402	15
"80-84"	329	334	5
"85-89"	197	179	-18
"90-94"	105	73	-32
"95-99"	32	11	-21
">99"	5	"."	"."

