"Alter"	"Weggezogene"	"Zugezogene"	"Saldo"
"0-4"	3891	4088	197
"5-9"	2317	2670	353
"10-14"	1279	1903	624
"15-19"	1368	2567	1199
"20-24"	6535	10986	4451
"25-29"	13839	20893	7054
"30-34"	13958	16873	2915
"35-39"	10412	11254	842
"40-44"	6775	7616	841
"45-49"	4800	5436	636
"50-54"	3126	3357	231
"55-59"	1922	1750	-172
"60-64"	1366	752	-614
"65-69"	899	282	-617
"70-74"	366	149	-217
"75-79"	186	91	-95
"80-84"	102	40	-62
"85-89"	59	29	-30
"90-94"	22	7	-15
"95-99"	1	1	0
">99"	0	1	0

