N	Oblig. Schule	Berufsvorb. Schule	Berufslehre	DMS	Matura	Lehrkräfte-Seminar	Höhere Fachschule	Universität	Andere Ausbildung	Keine Angabe
Weiblich	95	10	327	9	53	28	146	146	3	1
Männlich	44	4	250	12	49	5	133	186	4	1
Schweiz		114	13	527	18	89	32	255	276	7	2
Ausland		25	1	50	3	13	1	24	56	0	0
18-29 J. 	14	3	22	1	36	0	9	12	0	0
30-39 J.	5	1	35	4	9	0	23	42	1	0
40-49 J.	14	2	46	3	10	2	43	53	1	0
50-59 J.	17	0	85	5	12	11	66	76	1	0
60 J. u.m.	89	8	389	8	35	20	138	149	4	2
Total		139	14	577	21	102	33	279	332	7	2
