Jahr	Theater	Kleintheater	Kinos	Museen	Stadtbibliothek
2002	177064	105198	1311384	1240842	1108319
2003	196159	132498	1162152	1197642	1155199
2004	188239	138958	1224808	1745142	1204675
2005	177781	166732	987154	1202959	1201495
2006	158343	162132	915071	1334031	1218110
2007	165188	164400	843992	1399781	1267437
2008	176166	169652	834873	1295366	1269549
2009	178716	187338	873439	1647456	1285704
2010	177988	173064	833686	1279498	1313736
2011	164645	181020	791686	1296334	1325393
2012	165614	175289	843495	1313448	1294856
2013	188838	171317	727974	1336330	1236134
2014	169077	156935	654374	1264238	1162895
2015	166347	175272	644883	1345097	1177925
2016	172013	171861	629843	1374857	1270137
2017	172013	171861	646086	1487910	
