Kategorie	Gymnasium	Andere weiterführende Schulen	Brückenangebote/12. Schuljahr	Berufliche Grundbildung	Andere Lösung/Unbekannt	Keine Lösung
Alle	41.185076810534	10.7534747622531	22.7505486466715	16.3130943672275	7.82735918068764	1.17044623262619
.						
Männl.	38.1428571428571	7	24.7142857142857	22.2857142857143	6.57142857142857	1.28571428571429
Weibl.	44.3778110944528	14.6926536731634	20.6896551724138	10.0449775112444	9.14542728635682	1.04947526236882
.						
Deutsch	54.8480463096961	10.9985528219971	12.8798842257598	13.0246020260492	6.94645441389291	1.30246020260492
Fremdsp.	27.2592592592593	10.5185185185185	32.8888888888889	19.5555555555556	8.74074074074074	1.03703703703704
.						
Schweiz	47.6084538375973	11.5684093437152	16.7964404894327	16.0177975528365	7.00778642936596	1.00111234705228
Ausland	28.8461538461538	9.18803418803419	34.1880341880342	16.8803418803419	9.4017094017094	1.4957264957265
