Jahr	Fällungen	Pflanzungen	Kumulierter Saldo
1984	110	318	208 
1985	234	290	264 
1986	244	349	369 
1987	168	243	444 
1988	161	205	488 
1989	225	294	557 
1990	210	178	525 
1991	223	181	483 
1992	113	141	511 
1993	516	433	428 
1994	140	307	595 
1995	259	166	502 
1996	293	372	581 
1997	239	316	658 
1998	203	319	774 
1999	205	264	833 
2000	226	373	980 
2001	237	450	1193 
2002	228	282	1247 
2003	357	312	1202 
2004	292	301	1211 
2005	430	371	1152 
2006	387	588	1353 
2007	447	570	1476 
2008	257	447	1666 
2009	193	330	1803 
2010	232	416	1987 
2011	228	279	2038 
2012	213	253	2078 
2013	240	350	2188 
2014	196	506	2498 
2015	511	498	2485 
2016	509	324	2300 
2017	398	392	2294 
