Jahr	Bevölkerung	Bevölkerung indexiert (rechte Skala)	Beschäftigte	Beschäftigte indexiert (rechte Skala)
2005	187463	100	171743	100
2006	187368	99.949323333137		
2007	187684	100.117889930279		
2008	189274	100.966057301974	178337	103.839457
2009	190045	101.377338461456		
2010	190333	101.530968777838		
2011	192076	102.460752255111	183804	107.022702
2012	193459	103.198497836906	186950	108.854509
2013	195459	104.265375034006	188754	109.904916
2014	196471	104.805214895739	191441	111.469463
2015	197204	105.196225388476		
2016	198206	105.730730864223		
