"Jahr"	"Bevölkerung"	"Bevölkerung indexiert (rechte Skala)"	"Beschäftigte"	"Beschäftigte indexiert (rechte Skala)"
2005	187463	100	171743	100
2006	187368	99.949323	""	""
2007	187684	100.11789	""	""
2008	189274	100.96606	178337	103.83946
2009	190045	101.37734	""	""
2010	190333	101.53097	""	""
2011	192076	102.46075	183804	107.0227
2012	193459	103.1985	186950	108.85451
2013	195459	104.26538	188754	109.90492
2014	196471	104.80521	191574	111.5469
2015	197204	105.19623	190753	111.06886
2016	198206	105.73073	190681	111.02694
2017	198988	106.14788	""	""

