"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	202113	""	""	""
"1986"	199945	""	""	""
"1987"	198515	""	""	""
"1988"	196752	""	""	""
"1989"	196036	""	""	""
"1990"	196699	""	""	""
"1991"	197987	""	""	""
"1992"	198609	""	""	""
"1993"	199570	""	""	""
"1994"	199002	""	""	""
"1995"	198128	""	""	""
"1996"	196647	""	""	""
"1997"	194268	""	""	""
"1998"	192192	""	""	""
"1999"	190247	""	""	""
"2000"	188151	""	""	""
"2001"	187436	""	""	""
"2002"	188085	""	""	""
"2003"	188079	""	""	""
"2004"	188478	""	""	""
"2005"	187463	""	""	""
"2006"	187368	""	""	""
"2007"	187684	""	""	""
"2008"	189274	""	""	""
"2009"	190045	""	""	""
"2010"	190333	""	""	""
"2011"	192076	""	""	""
"2012"	193459	""	""	""
"2013"	195459	""	""	""
"2014"	196471	""	""	""
"2015"	197204	""	""	""
"2016"	198206	""	""	""
"2017"	198988	""	""	""
"2018"	""	200649	199595	198417
"2019"	""	202687	200453	197989
"2020"	""	204990	201475	197650
"2021"	""	207509	202623	197383
"2022"	""	210186	203851	197161
"2023"	""	212958	205115	196956
"2024"	""	215759	206372	196746
"2025"	""	218528	207584	196512
"2026"	""	221217	208727	196242
"2027"	""	223796	209788	195932
"2028"	""	226252	210764	195580
"2029"	""	228590	211660	195190
"2030"	""	230821	212489	194767
"2031"	""	232962	213262	194318
"2032"	""	235029	213988	193847
"2033"	""	237038	214678	193362
"2034"	""	238999	215337	192866
"2035"	""	240923	215970	192364
"2036"	""	242816	216581	191858
"2037"	""	244685	217170	191350
"2038"	""	246532	217741	190842
"2039"	""	248362	218296	190334
"2040"	""	250174	218833	189827

