Jahr	Büro	Lager	Laden	Gewerbe	Produktion	Total
1997	24845	22716	10112	10157	383	68213
1998	14888	12821	9996	5262	2951	45918
1999	28533	21008	7112	5634	16023	78310
2000	37764	22109	5734	1115	14048	80770
2001	22039	22703	6284	1532	14588	67146
2002	23722	8057	4415	1713	11547	49454
2003	34053	10782	4122	3387	11562	63906
2004	52201	11908	7135	3372	10420	85036
2005	65745	22125	11604	8888	11055	119417
2006	43273	13818	12642	12130	10362	92225
2007	52559	13534	7906	13558	1065	88622
2008	60842	17594	8597	6705	1015	94753
2009	49314	36465	20200	4494	456	110929
2010	81705	40281	13516	5562	75	141139
2011	87909	43476	16373	18925	2000	168683
2012	91175	23853	14333	18102	1057	148520
2013	71229	15360	9503	19987	1642	117721
2014	75525	15894	17186	6126	682	115413
2015	60952	17931	17576	6866	821	104146
2016	54565	11291	10559	7793	2035	86243
