	 Ertrag 2006	 Ertrag Basel-Stadt 2006 (rechte Skala)	 Ertrag 2015	 Ertrag Basel-Stadt 2015 (rechte Skala)
Altstadt GB	32255906	1235772636	37138088	1385191217
Vorstädte 	74360803	1235772636	67689183	1385191217
Am Ring 	72698089	1235772636	83454761	1385191217
Breite 	39726248	1235772636	42882300	1385191217
St. Alban 	120578558	1235772636	141474903	1385191217
Gundeldingen 	77862062	1235772636	89896864	1385191217
Bruderholz 	136456786	1235772636	188296828	1385191217
Bachletten 	99064759	1235772636	107663013	1385191217
Gotthelf 	54193326	1235772636	40275144	1385191217
Iselin 	62729570	1235772636	65881009	1385191217
St. Johann 	67675445	1235772636	77282792	1385191217
Altstadt KB	14175966	1235772636	15657079	1385191217
Clara 	14283442	1235772636	16177276	1385191217
Wettstein 	35448240	1235772636	41807429	1385191217
Hirzbrunnen 	40670874	1235772636	43705051	1385191217
Rosental 	13891471	1235772636	21017570	1385191217
Matthäus 	56420344	1235772636	61597864	1385191217
Klybeck 	20748527	1235772636	19024020	1385191217
Kleinhüning. 	8035172	1235772636	8230776	1385191217
Riehen 	184934207	1235772636	194062519	1385191217
Bettingen	9562841	1235772636	21976748	1385191217
