Jahr	Heizöl	Erdgas	Abfall	Treibstoffe	Elektrizität	Erneuerbare Energien
1990	3251.0	785.0	113.0	1690.0	1375.0	598.0
1995	2446.0	1504.0	397.0	1813.0	1292.0	500.0
2000	2032.0	1653.0	586.0	1934.0	1327.0	558.0
2002	2033.0	1707.0	554.0	1905.0	1385.0	525.0
2004	2127.0	1617.0	52.0	1884.0	2145.4	512.0
2006	2143.0	1671.0	515.0	1884.0	1531.0	518.0
2010	549.5	1956.7	807.5	813.8	1254.7	382.8
2012	478.8	1713.5	834.9	756.2	1121.7	445.6
2014	394.4	1417.1	845.2	767.9	978.4	510.2
2016	302.8	1472.9	839.0	767.9	974.6	558.3
