"Jahr"	"Höhenlagen im Jura"	"Agglomeration"	"Stadt Basel"	"Stark verkehrsexponiert"
1991	2.7	5.4	5.9	5.6
1992	2.7	5.4	5.3	5.6
1993	2.1	4.8	5.3	5.6
1994	2.1	4.5	5.4	5.1
1995	2.1	4.8	4.4	5.1
1996	2.7	5.3	5.3	4.7
1997	2.1	4.8	5.1	5.3
1998	2.1	3.9	4.2	5
1999	2.1	3.9	4.1	5.3
2000	2.1	3.9	4.1	4.9
2001	2.1	3.4	4.2	4.7
2002	2.1	3.8	4.2	4.7
2003	2.1	4.1	4.2	5.6
2004	2.1	3.8	3.6	5.1
2005	2.1	3.8	4.2	5.1
2006	2.1	3.8	4.8	5.4
2007	2	2.9	3.8	4.7
2008	1.4	3.1	3.8	4.5
2009	1.4	3.1	3.8	4.7
2010	1.5	3.2	3.9	4.7
2011	1.4	2.9	3.8	4.7
2012	1.4	2.7	3.2	4.4
2013	1.5	2.7	3.2	4.5
2014	1.4	2.4	3.2	4
2015	1.5	3	3.3	4.2
2016	1.4	2.2	3.2	3.8
2017	1.4	2.1	3.3	4.4
