Zuzugsland_id	 Deutschland	 Italien	 USA	 Frankreich	 UK	 Übriges Ausland	Total	 Frankreich
2008	100	100	100	100	100	100	100	100
2009	91.42968446	95.62289562	110.1952278	99.44903581	107.7262693	94.40789474	95.41661317	99.44903581
2010	88.58589794	106.0606061	123.4273319	96.96969697	107.5055188	95.53179825	96.0585441	96.96969697
2011	82.82041293	107.7441077	114.967462	98.62258953	126.7108168	112.6096491	102.9143664	98.62258953
2012	75.30190884	132.996633	111.0629067	99.17355372	108.1677704	118.0098684	102.6447554	99.17355372
2013	83.36579665	174.4107744	127.7657267	120.3856749	120.5298013	129.4682018	114.944152	120.3856749
2014	73.54888975	190.2356902	112.1475054	140.7713499	91.61147903	108.9912281	101.0656053	140.7713499
2015	74.60070121	192.5925926	98.9154013	168.3195592	85.65121413	111.9791667	103.0555912	168.3195592
2016	81.02843787	200.3367003	112.1475054	143.2506887	91.61147903	114.1447368	106.4449865	143.2506887
2017	76.19789638	177.1043771	111.0629067	118.7327824	95.14348786	105.2905702	98.81884709	118.7327824
