WohnviertelId	Wohnviertel	Anzahl Zugezogene pro 100 Einwohner	Anzahl	Anteil Zugezogene nach Zuzugsland: Schweiz	Anteil Zugezogene nach Zuzugsland: Ausland
1	Altstadt GB	11.27258445	0.1	48.43205575	51.56794425
2	Vorstädte	13.36121067	0.1	36.06557377	63.93442623
3	Am Ring	11.7849823	0.1	38.73517787	61.18577075
4	Breite	7.038943599	0.1	55.48489666	44.51510334
5	St. Alban	6.525330396	0.1	46.97609001	53.02390999
6	Gundeldingen	8.585350352	0.1	54.4108575	45.40407156
7	Bruderholz	5.082536924	0.1	52.77777778	47.22222222
8	Bachletten	4.844546193	0.1	53.20121951	46.64634146
9	Gotthelf	6.201550388	0.1	48.3490566	51.6509434
10	Iselin	7.211365544	0.1	50.2078138	49.54280964
11	St. Johann	7.96460177	0.1	41.56626506	57.63052209
12	Altstadt KB	9.375	0.1	45.2991453	54.27350427
13	Clara	10.01739995	0.1	35.73200993	64.01985112
14	Wettstein	8.852691218	0.1	36.2	63.8
15	Hirzbrunnen	4.171180932	0.1	54.02597403	45.97402597
16	Rosental	14.19413919	0.1	30.75268817	69.24731183
17	Matthäus	9.290646579	0.1	34.39189189	65.27027027
18	Klybeck	6.373229658	0.1	32.89760349	66.88453159
19	Kleinhüningen	6.187348773	0.1	32.40223464	67.59776536
20	Riehen	3.756963954	0.1	50.44359949	49.30291508
30	Bettingen	5.12605042	0.1	40.98360656	59.01639344
					


