wohnviertel_id	Gymnasialquote	Rang	wohnviertel	jahr_num
18	0.2083333333	1	Klybeck	2017
6	0.2606635071	2	Gundeldingen	2017
17	0.3	3	Matthäus	2017
16	0.3023255814	4	Rosental	2017
13	0.3191489362	5	Clara	2017
4	0.329787234	6	Breite	2017
10	0.3436293436	7	Iselin	2017
11	0.3625498008	8	St. Johann	2017
19	0.3673469388	9	Kleinhüningen	2017
15	0.4277108434	10	Hirzbrunnen	2017
12	0.44	11	Altstadt Kleinbasel	2017
2	0.44	11	Vorstädte	2017
5	0.5507246377	13	St. Alban	2017
20	0.5512820513	14	Riehen	2017
14	0.5555555556	15	Wettstein	2017
9	0.578313253	16	Gotthelf	2017
3	0.5888888889	17	Am Ring	2017
30	0.652173913	18	Bettingen	2017
1	0.6666666667	19	Altstadt Grossbasel	2017
7	0.6835443038	20	Bruderholz	2017
8	0.693877551	21	Bachletten	2017
