"Wohnviertel_id"	"Arbeitsplätze pro Kopf"	"Rang"	"Wohnviertel"	"jahr_num"
4	0.1306988	1	"Breite"	2016
7	0.138442	2	"Bruderholz"	2016
10	0.1597338	3	"Iselin"	2016
20	0.1670433	4	"Riehen"	2016
17	0.1872288	5	"Matthäus"	2016
8	0.1992794	6	"Bachletten"	2016
9	0.2985507	7	"Gotthelf"	2016
30	0.2992306	8	"Bettingen"	2016
15	0.3260985	9	"Hirzbrunnen"	2016
18	0.4792851	10	"Klybeck"	2016
6	0.5721469	11	"Gundeldingen"	2016
13	0.64311	12	"Clara"	2016
16	0.7308378	13	"Rosental"	2016
3	1.0428211	14	"Am Ring"	2016
11	1.1019534	15	"St. Johann"	2016
12	1.600298	16	"Altstadt Kleinbasel"	2016
14	1.9410736	17	"Wettstein"	2016
19	2.1176332	18	"Kleinhüningen"	2016
5	2.2766626	19	"St. Alban"	2016
1	4.1077455	20	"Altstadt Grossbasel"	2016
2	4.3439132	21	"Vorstädte"	2016

