wohnviertel_id	Anteil Personen in Einpersonenhaushalten	Rang	wohnviertel	jahr_num
30	0.1311627907	1	Bettingen	2017
7	0.1545054945	2	Bruderholz	2017
20	0.1628540045	3	Riehen	2017
15	0.1886155855	4	Hirzbrunnen	2017
19	0.1952813067	5	Kleinhüningen	2017
8	0.2107660146	6	Bachletten	2017
16	0.2144399877	7	Rosental	2017
18	0.2177126918	8	Klybeck	2017
11	0.2289479562	9	St. Johann	2017
5	0.2392694911	10	St. Alban	2017
17	0.2433320448	11	Matthäus	2017
14	0.2642381657	12	Wettstein	2017
10	0.2655998089	13	Iselin	2017
13	0.2677286742	14	Clara	2017
6	0.273321097	15	Gundeldingen	2017
3	0.2780228594	16	Am Ring	2017
4	0.2849794239	17	Breite	2017
9	0.2869757174	18	Gotthelf	2017
1	0.2922636103	19	Altstadt Grossbasel	2017
2	0.3167572085	20	Vorstädte	2017
12	0.3210091344	21	Altstadt Kleinbasel	2017
